Artist,Album,Title,Key,BPM,Energy
2001,2001,Kurt Cobain x Lil Peep x Brennan Savageie young Prod 2001,Bm,102.52,5
2001,2001,Fatse x 93feetofsmoke x shinigami Clarity Prod 2001,C,140.00,5
2001,2001,Shrimp Cloud Rap Worth Prod 2001,C,130.00,5
2001,2001,9TAILS x guardin x Lil Peep x sadeyes CHOSEN Prod 2001,Am,120.00,4
2001,2001,Guardin x Cold Hart Miss Me Prod 2001,F#m,130.01,3
2001,2001,shinigami x boy pablo x guardin x indie rock COLD Prod 2001,G,115.00,6
2023,2023,Lil Uzi Vert xarkboyrift (Prod Byarkboy),Em,122.00,6
2023,2023,alaskan,E,137.00,5
2023,2023,hyperpop brakence + emo drill habibati,D,145.01,6
2023,2023,nosense,C#m,153.99,4
2023,2023,drain gang + bladee + d1v (jolst + internet joe),Dm,140.00,4
2023,2023,Abyss,Cm,93.00,4
2023,2023,juice wrld x loesoe ambient waking dream,Cm,139.00,6
2023,2023,last breath,F#,92.50,7
2023,2023,No Tag whitearmor x umru x bladee l rywuna0ra,D#m,105.99,4
2023,2023,NEONREAMS,G#m,80.00,5
2023,2023,SAD midwxst x glaive x hyperpopelete You,Am,82.00,5
2023,2023,one day,Dm,140.00,5
2023,2023,code,Dm,85.99,7
2023,2023,serene,Dm,81.00,5
2023,2023,hyperpop glaive + ericdoa wish me luck,A,131.99,4
2023,2023,bubbles,D#,140.00,6
2023,2023,over it,F#,139.00,4
2023,2023,ECCO2K x BLADEE x BLACK KRAY RAINFALL prod shinju,Em,140.00,5
2023,2023,midwxst x glaive x hyperpop Your Boy,F#m,152.00,4
2023,2023,Ill be waiting,D,150.01,6
2023,2023,darkknight,G#m,141.00,5
2023,2023,saber,Em,135.00,5
2023,2023,blizzard,F,144.00,5
2023,2023,Hyperpop Glaive x Brakence Pop Punk Guitar Sleepy,E,140.00,6
2023,2023,BLADEE x BLACK KRAY x THAIBOYIGITAL REPAIR prod shinju,D#m,157.00,5
27club,Sticks & Stones,Grab the Wheel,G#m,144.00,7
31knots,The Days and Nights of Everything Anywhere,Savage Boutique,Am,116.75,5
4evr,Cold,Cold,A#m,140.02,6
5head,5head,Blurred Lines Nothingnowhere,D,120.00,5
5head,5head,U Never Bothered,F,150.00,5
5head,5head,Hollow Emo,A#,103.33,6
5head,5head,Lights Out Emo Guitar,Gm,150.00,6
5head,5head,Cupid Juice Wrld,C#,157.00,6
5head,5head,Vanity Nothing Nowhere,Dm,80.00,5
5head,5head,Flowers,Fm,82.50,6
6obby,Elegance.,Nobody,C#m,80.00,5
808 Trel,,[FREE] Bryson Tiller x 6LACK Type Beat 'Forever',D#,152.00,5
93feetofsmoke,Nightmare,Oh Nah Oh Nah,E,81.00,7
93punx & Vic Mensa Feat. Good Charlotte,93punx,It’s a Bad Dream,Bm,82.00,7
A Change of Pace,Rockin' Romance,Summer Girls,E,100.00,7
A Great Big Pile of Leaves,The Fiery Works,Mystery of the Brain,G,142.99,8
A Lot Like Birds,Conversation Piece,A Satire of a Satire of a Satire Is Tiring,F#m,114.00,6
A Thorn for Every Heart,Punk Goes 80's,Dead Man's Party,D#m,87.50,7
A War Within,Kingdom Leaks: Covers Compilation Vol. Iii,Rude (Magic),C#,144.00,7
A.I.(D),Djent Rolls Deep,Eminem,Bm,139.72,7
Abbott Hayes,"Pacific Ridge Records Presents: A Tribute to Blink-182, Volume 2",I Miss You,B,109.50,5
Above the Fallen,Make It Stop,Memories,Bm,149.98,7
Ace Enders and a Million Different People,When I Hit the Ground,When I Hit the Ground,A#,139.99,6
Acoustic Aquatic,,"[FREE] Acoustic Guitar Type Beat - ""the little things""",G,153.99,3
Acres,In Sickness & Health,In Sickness & Health,G#m,110.00,5
Adventure,"Tales of Belle, Part 1: Across the Ocean",Voices,Bm,150.00,7
Adventure Club,B-Sides,Kaboom,Cm,139.99,7
Adventure Club,B-Sides,Need Your Heart 2.0 (Adventure Club X Dion Timmer X Kai),D#m,150.00,7
Adventure Club,B-Sides,Life Long After Death,Em,150.00,7
Adventure Club,Do I See Color,Do I See Color,Am,146.00,8
Adventure Club,Next Life (Remixes),Yehme2 Remix,Em,152.00,7
Adventure Club,Leviathan,Leviathan,Fm,150.00,8
Adventure Club,Red // Blue,Without You,Em,145.00,6
Adventure Club,Red // Blue,Ghosts,A#m,155.00,5
Adventure Club,Red // Blue,Goodnight,E,114.99,3
Adventure Club,Calling All Heroes,Thunderclap,Fm,128.00,8
Adventure Club,B-Sides,"Some Will Seek Forgiveness, Others Escape",Bm,140.01,5
Adventure Club,Love // Chaos,Here,G,110.00,7
Adventure Club,The Death or Glory Sessions,Death or Glory,Fm,150.01,7
Adventure Club,Wait,Wait,G,128.00,7
Adventure Club,Next Life,Byo,Em,126.00,7
Adventure Club,Next Life,Mom,Em,100.00,8
Adventure Club,Red // Blue,Without You,Em,145.00,6
Adventure Club,B-Sides,Hurricane,Am,81.50,7
Adventure Club,Wait,Wait,G,128.00,7
Adventure Club,Next Life (Remixes),Byor Remix,Em,126.00,7
Adventure Club,Retro City,01retro City,Fm,93.37,7
Adventure Club,Spiritus Sancti (Boondock Saints Tribute),Spiritus Sancti (Boondock Saints Tribute),A#m,126.39,6
Adventure Club,The Death or Glory Sessions,Wolfpack,Fm,150.00,7
Adventure Club,Red // Blue,Save Me,Fm,140.00,8
Adventure Club,Life Long After Death,Life Long After Death,Em,150.00,7
Adventure Club,Next Life,Yeh,Em,152.00,7
Adventure Club,Red // Blue,Crash 2.0 (Adventure Club Vs. Dallask),Cm,128.00,7
Adventure Club,Next Life (Remixes),Mom N Dad Remix,Em,100.00,8
Adventure Club,Red // Blue,Save Me,Fm,140.00,8
Adventure Club,Calling All Heroes,Crash,Cm,110.00,8
Adventure Club & Alrt,Love // Chaos,Away From Myself,Am,150.00,7
Adventure Club & Beauz Feat. Tilian Pearson,Love // Chaos,Drive,D,150.01,7
Adventure Club & Beauz Feat. Tilian Pearson,Love // Chaos,Drive,D,150.01,7
Adventure Club & Birthdayy Partyy,Love // Chaos,Move It,Bm,128.00,6
Adventure Club & Blanke Feat. Becca Krueger,Love // Chaos,Still Awake,A,80.00,6
Adventure Club & Boss Mode Feat. Kindred,Love // Chaos,Infinity,Fm,150.00,7
Adventure Club & Cabuizee Feat. Gion,Love // Chaos,Stuck,Em,154.00,7
Adventure Club & Codeko Feat. Sarah De Warren,Love // Chaos,Never Surrender,Cm,150.00,8
Adventure Club & Codeko Feat. Sarah De Warren,Love // Chaos,Never Surrender,Cm,150.00,8
Adventure Club & Crankdat Feat. Krewella,Love // Chaos,Next Life,Em,142.00,7
Adventure Club & David Solano Feat. Zak Waters,Unleash (Life in Color Anthem 2014),Unleash (Life in Color Anthem 2014),C#m,128.00,8
Adventure Club & David Solano Feat. Zak Waters,Unleash (Life in Color Anthem 2014),Unleash (Life in Color Anthem 2014) (Radio Edit),C#m,128.00,8
Adventure Club & Gspr Feat. Boy Apocalypse,Love // Chaos,All In,D#,149.00,6
