Artist,Title,Album,Key,Tempo,Genre,Energy,CuePoints,Comment,Overall Volume
4evr,"Cold (feat. Thebreathingbackwards, Yesterday & Stairwell)","Cold (feat. Thebreathingbackwards, Yesterday & Stairwell)",A#m,140.02,Alternative,6,8,A#m - 140.02,-10.6 dB
6obby,nobody,Fuck Playlist,C#m,80.00,Rap/Hip Hop,5,6,C#m - 80.00,-6.4 dB
93FEETOFSMOKE,OH NAH OH NAH,NIGHTMARE,E,81.00,Alternative,8,8,E - 81.00,-6.8 dB
93PUNX,it’s a bad dream,93PUNX,Bm,82.00,Alternative,7,5,Bm - 82.00,-7.2 dB
A Change of Pace,Summer Girls,Rockin Romance,E,100.00,Rock,7,8,E - 100.00,-9.1 dB
A Great Big Pile of Leaves,Mystery of the Brain,The Fiery Works,G,142.99,Alternative,8,8,G - 142.99,-8.1 dB
A Lot Like Birds,A Satire of a Satire of a Satire is Tiring,Conversation Piece Deluxe Re-Issue,F#m,114.00,,5,7,F#m - 114.00,-6.8 dB
A Thorn for Every Heart,Dead Man's Party,Punk Goes 80's,D#m,87.50,Alternative,7,3,D#m - 87.50,-9.5 dB
A War Within,Rude (MAGIC! Cover),Kingdom Leaks: Covers Compilation Vol. III,C#,144.00,Metal,7,8,C# - 144.00 - D♭ major (8d),-10.2 dB
A.I.(d),Til' I Collapse (Eminem),Djent Rolls Deep,Bm,139.72,Djent,7,8,Bm - 139.72 - B minor (3m),-5.8 dB
Abbott Hayes,I Miss You,Pacific Ridge Records Heroes of Pop Punk,B,109.50,Alternative,5,8,B - 109.50,-9.0 dB
Above the Fallen,Memories,Make It Stop,Bm,149.98,Metal,6,8,Bm - 149.98,-8.0 dB
Ace Enders & A Million Different People,When I Hit the Ground,When I Hit the Ground,A#,139.99,Alternative,6,5,A# - 139.99,-10.0 dB
Acres,In Sickness & Health,In Sickness & Health,G#m,110.00,Alternative,5,3,G#m - 110.00,-6.8 dB
Adventure Club,Next Life (feat. Krewella) (BYOR Remix),Next Life (feat. Krewella) (Remixes),Em,126.00,Dance,7,8,Em - 126.00,-8.5 dB
Adventure Club,Next Life (feat. Krewella),,Em,142.00,,8,8,Em - 142.00,-8.5 dB
Adventure Club,Rise & Fall ft Krewella,,Fm,140.00,,7,8,Fm - 140.00,-8.3 dB
Adventure Club,Next Life (feat. Krewella) (YehMe2 Remix),Next Life (feat. Krewella) (Remixes),Em,152.00,Dance,7,8,Em - 152.00,-5.6 dB
Adventure Club,Retro City,Retro City,Fm,140.02,Electro,7,8,Fm - 140.02,-8.0 dB
Adventure Club,Rebellious,Rebellious,Cm,80.00,Electro,6,8,Cm - 80.00,-9.3 dB
Adventure Club,Without You,Red // Blue,Em,145.00,Dance,6,8,Em - 145.00,-7.6 dB
Adventure Club,Dreams (feat. ELEA),Red // Blue,Am,95.00,Dance,7,8,Am - 95.00,-8.6 dB
Adventure Club,Firestorm (feat. Sara Diamond),Red // Blue,C#m,140.01,Dance,6,8,C#m - 140.01,-8.3 dB
Adventure Club,Forever (feat. Ben Stevenson),Red // Blue,A#m,128.00,Dance,6,8,A#m - 128.00,-8.7 dB
Adventure Club,Limitless (feat. Delaney Jane),Red // Blue,Cm,80.00,Dance,8,8,Cm - 80.00,-8.2 dB
Adventure Club,Breathe (feat. Sondar),Red // Blue,C#m,150.00,Dance,6,8,C#m - 150.00,-7.6 dB
Adventure Club,Ghosts,Red // Blue,A#m,155.00,Dance,5,5,A#m - 155.00,-9.1 dB
Adventure Club,Reaction (feat. Leah Culver),Red // Blue,Em,112.00,Dance,8,8,Em - 112.00,-6.8 dB
Adventure Club,Next Life (Mom N Dad Remix),Next Life (Remixes),Em,100.00,Dance,8,8,Em - 100.00,-6.1 dB
Adventure Club,Crash 2.0,Red // Blue,Cm,128.00,Dance,8,8,Cm - 128.00,-6.5 dB
Adventure Club,Fade (feat. Zak Waters),Red // Blue,Bm,134.00,Dance,8,8,Bm - 134.00,-7.2 dB
Adventure Club,Goodnight,Red // Blue,E,114.99,Dance,3,8,E - 114.99,-7.9 dB
Adventure Club,Retro City (Kirmaan Aboobaker Remix),Retro City (Kirmaan Aboobaker Remix),Fm,93.37,Electro,7,4,Fm - 93.37,-9.9 dB
Adventure Club,Rise & Fall (feat. Krewella),Rise & Fall (feat. Krewella),Fm,140.00,Electro,7,8,Fm - 140.00,-7.9 dB
Adventure Club,Rise & Fall (Krewella Remix) (feat. Krewella),Rise & Fall (Krewella Remix) (feat. Krewella),Fm,140.00,Electro,8,8,Fm - 140.00,-6.9 dB
Adventure Club,Rise &amp; Fall (KDrew Remix),Rise &amp; Fall (KDrew Remix),Fm,140.00,Electro,8,8,Fm - 140.00,-7.5 dB
Adventure Club,Safe With Me,Safe With Me,F#m,150.00,Electro,7,8,F#m - 150.00,-9.3 dB
Adventure Club,Death Or Glory,The Death Or Glory Sessions,Fm,150.01,Dance,7,8,Fm - 150.01,-9.8 dB
Adventure Club,Wolfpack,The Death Or Glory Sessions,Fm,150.00,Dance,6,7,Fm - 150.00,-8.0 dB
Adventure Club,Save Me (feat. Adara),Red // Blue,Fm,140.00,Dance,8,8,Fm - 140.00,-7.8 dB
Adventure Club,Adventure Club x Modern Machines ft. Saint Slumber - MakeDamnSure (Taking Back Sunday Cover),,Bm,155.00,,7,8,Bm - 155.00,-7.9 dB
Adventure Club,Next Life (BYOR Remix),Next Life (Remixes),Em,126.00,Dance,7,8,Em - 126.00,-8.5 dB
Adventure Club,Next Life (feat. Krewella) (Mom N Dad Remix),Next Life (feat. Krewella) (Remixes),Em,100.00,Dance,8,8,Em - 100.00,-6.1 dB
Adventure Club,Safe With Me (feat. Luma),Love // Chaos,F#m,150.00,Dance,7,8,F#m - 150.00,-9.3 dB
Adventure Club,One More Try (feat. Kotomi),Love // Chaos,A,152.00,Dance,5,8,A - 152.00,-7.5 dB
Adventure Club,Stuck (feat. Gion),Love // Chaos,Em,154.00,Dance,7,8,Em - 154.00,-7.2 dB
Adventure Club,You'll Never Be Alone,Love // Chaos,G,128.00,Dance,7,8,G - 128.00,-8.0 dB
Adventure Club,Move It,Love // Chaos,Bm,128.00,Dance,6,8,Bm - 128.00,-10.0 dB
Adventure Club,Next Life (feat. Krewella),Love // Chaos,Em,142.00,Dance,8,8,Em - 142.00,-8.1 dB
Adventure Club,Anywhere,Love // Chaos,D,130.00,Dance,6,3,D - 130.00,-7.0 dB
Adventure Club,Stronger,Love // Chaos,G#m,150.00,Dance,6,8,G#m - 150.00,-4.9 dB
Adventure Club,Broken Love (feat. Cammie Robinson),Love // Chaos,Am,80.00,Dance,7,8,Am - 80.00,-8.5 dB
Adventure Club,Next Life (YehMe2 Remix),Next Life (Remixes),Em,152.00,Dance,7,8,Em - 152.00,-5.6 dB
Adventure Club,Away From Myself,Love // Chaos,Am,150.00,Dance,7,8,Am - 150.00,-6.6 dB
Adventure Club,MakeDamnSure (FLØRALS Remix),MakeDamnSure (FLØRALS Remix),Bm,155.00,Electro,7,8,Bm - 155.00,-7.7 dB
Adventure Club,Need Your Heart (feat. Kai),Need Your Heart (feat. Kai),Cm,140.00,Electro,7,8,Cm - 140.00,-8.7 dB
Adventure Club,Need Your Heart (Protohype Remix) [feat. Kai],Need Your Heart Remixes,Cm,140.00,Electro,7,8,Cm - 140.00,-20.2 dB
Adventure Club,Need Your Heart (Minnesota Remix) [feat. Kai],Need Your Heart Remixes,Cm,145.00,Electro,7,8,Cm - 145.00,-8.7 dB
Adventure Club,Need Your Heart (Candyland Remix) [feat. Kai],Need Your Heart Remixes,Cm,128.00,Electro,8,8,Cm - 128.00,-8.1 dB
Adventure Club,Need Your Heart (Cry Wolf Remix) [feat. Kai],Need Your Heart Remixes,Cm,130.00,Electro,8,8,Cm - 130.00,-7.4 dB
Adventure Club,Need Your Heart (feat. Kai),Need Your Heart Remixes,Cm,140.00,Electro,7,8,Cm - 140.00,-8.7 dB
Adventure Club,Never Surrender,Never Surrender,Cm,150.00,Electro,8,8,Cm - 150.00,-6.4 dB
Adventure Club,Next Life,Next Life,Em,142.00,Dance,8,8,Em - 142.00,-8.1 dB
Adventure Club,MakeDamnSure,MakeDamnSure,Bm,155.00,Electro,6,8,Bm - 155.00,-7.5 dB
Adventure Club,Adventure Club x Said the Sky - Already Know [Feat. Caly Bevier],,Am,140.00,,7,8,Am - 140.00,-7.0 dB
Adventure Club,Alexisonfire - To A Friend (Adventure Club Remix),,G,140.05,,6,8,G - 140.05,-8.4 dB
Adventure Club,AOSOON - Under (Adventure Club Remix),,C#m,145.00,,8,8,C#m - 145.00,-10.7 dB
Adventure Club,Need Your Heart Ft Kai (Free Download),,Cm,140.00,,7,8,Cm - 140.00,-9.2 dB
Adventure Club,QUIX & Adventure Club - Life Long After Death (feat. badXchannels),,Em,150.00,,7,8,Em - 150.00,-6.7 dB
Adventure Club,Reaction (Feat. Leah Culver),,Em,112.00,,8,8,Em - 112.00,-7.2 dB
Adventure Club,Retro City,,Fm,104.98,,8,8,Fm - 104.98,-8.5 dB
Adventure Club,Save Me Feat. Adara (Adventure Club & Terravita),,Fm,140.00,,8,8,Fm - 140.00,-8.2 dB
Adventure Club,Spiritus Sancti (Boondock Saints Tribute) - Adventure Club Dubstep,,A#m,126.39,,6,5,A#m - 126.39,-4.3 dB
Adventure Club,Temper Trap - Love Lost (Adventure Club Dubstep Remix),,Dm,139.91,,8,5,Dm - 139.91,-6.0 dB
Adventure Club,The Shangri-Las - Remember (Adventure Club Dubstep Remix),,Dm,105.00,,7,8,Dm - 105.00,-7.3 dB
Adventure Club,Thrice - Broken Lungs (Adventure Club Remix),,F,134.00,,7,7,F - 134.00,-6.4 dB
Adventure Club,Need Your Heart 2.0 (Adventure Club X Dion Timmer X Kai),,D#m,150.00,,7,8,D#m - 150.00,-6.9 dB
Adventure Club,Thunderclap,,Fm,128.00,,8,8,Fm - 128.00,-7.3 dB
Adventure Club,Virtual Self - Ghost Voices (Adventure Club Remix),,Bm,150.00,,8,8,Bm - 150.00,-7.9 dB
Adventure Club,Wait,,G,128.00,,7,8,G - 128.00,-8.9 dB
Adventure Club,Without You (Adventure Club & Hunter Siegel),,Em,145.00,,6,8,Em - 145.00,-8.0 dB
Adventure Club,Wonder Feat. The Kite String Tangle,,Gm,123.00,,7,8,Gm - 123.00,-7.8 dB
Adventure Club,Unleash (Life In Color Anthem 2014) (feat. Zak Waters) (Radio Edit),Unleash (Life In Color Anthem 2014) [feat. Zak Waters],C#m,128.00,Dance,8,8,C#m - 128.00,-7.2 dB
Adventure Club,Unleash (Life In Color Anthem 2014) [feat. Zak Waters],Unleash (Life In Color Anthem 2014) [feat. Zak Waters],C#m,128.00,Dance,8,8,C#m - 128.00,-7.5 dB
Adventure Club,Wait,Wait,G,128.00,Electro,7,4,G - 128.00,-8.5 dB
Adventure Club,Where We Are,Where We Are,F,135.00,Dance,6,8,F - 135.00,-8.0 dB
Adventure Club,You'll Never Be Alone,You’ll Never Be Alone,G,128.00,Electro,7,8,G - 128.00,-8.0 dB
Adventure Club,"Underoath - Some Will Seek Forgiveness, Others Escape (Adventure Club Edit)",,Bm,140.01,,5,8,Bm - 140.01,-7.3 dB
Adventure Club,MS MR - Hurricane (Adventure Club Remix),,Am,81.50,,7,6,Am - 81.50,-9.0 dB
